,zaman_mazi_sadeh,zaman_mazi_estemrari,zaman_mazi_baeid,zaman_mazi_eltezami,mazi_mostamar,mozare_ekhbari,mozare_eltezami,mozare_estemrari,َAyandeh,Amr
672,سوختم,می سوختم,سوخته بودم,سوخته باشم,داشتم  می سوختم,می سوزم,بسوزم,دارم  می سوزم,می خوام بسوزم,-
673,سوختی,می سوختی,سوخته بودی,سوخته باشی,داشتی  می سوختی,می سوزی,بسوزی,داری  می سوزی,می خوای بسوزی,بسوز
674,سوخت,می سوخت,سوخته بود,سوخته باش,داشته  می سوخته,می سوزه,بسوزه,داره  می سوزه,می خواد بسوزه,بسوزه
675,سوختیم,می سوختیم,سوخته بودیم,سوخته باشیم,داشتیم  می سوختیم,می سوزیم,بسوزیم,داریم  می سوزیم,می خوایم بسوزیم,بسوزیم
676,سوختین,می سوختین,سوخته بودین,سوخته باشین,داشتین  می سوختین,می سوزین,بسوزین,دارین  می سوزین,می خواین بسوزین,بسوزین
677,سوختن,می سوختن,سوخته بودن,سوخته باشن,داشتن  می سوختن,می سوزن,بسوزن,دارن  می سوزن,می خوان بسوزن,بسوزن
678,شدم,می شدم,شده بودم,شده باشم,داشتم  می شدم,می شوم,بشوم,دارم  می شوم,می خوام بشوم,-
679,شدی,می شدی,شده بودی,شده باشی,داشتی  می شدی,می شوی,بشوی,داری  می شوی,می خوای بشوی,بشو
680,شد,می شد,شده بود,شده باش,داشته  می شده,می شه,بشه,داره  می شه,می خواد بشه,بشه
681,شدیم,می شدیم,شده بودیم,شده باشیم,داشتیم  می شدیم,می شویم,بشویم,داریم  می شویم,می خوایم بشویم,بشویم
682,شدین,می شدین,شده بودین,شده باشین,داشتین  می شدین,می شوین,بشوین,دارین  می شوین,می خواین بشوین,بشوین
683,شدن,می شدن,شده بودن,شده باشن,داشتن  می شدن,می شون,بشون,دارن  می شون,می خوان بشون,بشون
684,شروع کردم,شروع می کردم,شروع کرده بودم,شروع کرده باشم,داشتم شروع می کردم,شروع می کنم,شروع بکنم,دارم شروع می کنم,می خوام شروع بکنم,-
685,شروع کردی,شروع می کردی,شروع کرده بودی,شروع کرده باشی,داشتی شروع می کردی,شروع می کنی,شروع بکنی,داری شروع می کنی,می خوای شروع بکنی,شروع بکن
686,شروع کرد,شروع می کرد,شروع کرده بود,شروع کرده باش,داشته شروع می کرده,شروع می کنه,شروع بکنه,داره شروع می کنه,می خواد شروع بکنه,شروع بکنه
687,شروع کردیم,شروع می کردیم,شروع کرده بودیم,شروع کرده باشیم,داشتیم شروع می کردیم,شروع می کنیم,شروع بکنیم,داریم شروع می کنیم,می خوایم شروع بکنیم,شروع بکنیم
688,شروع کردین,شروع می کردین,شروع کرده بودین,شروع کرده باشین,داشتین شروع می کردین,شروع می کنین,شروع بکنین,دارین شروع می کنین,می خواین شروع بکنین,شروع بکنین
689,شروع کردن,شروع می کردن,شروع کرده بودن,شروع کرده باشن,داشتن شروع می کردن,شروع می کنن,شروع بکنن,دارن شروع می کنن,می خوان شروع بکنن,شروع بکنن
690,شستم,می شستم,شسته بودم,شسته باشم,داشتم  می شستم,می شورم,بشورم,دارم  می شورم,می خوام بشورم,-
691,شستی,می شستی,شسته بودی,شسته باشی,داشتی  می شستی,می شوری,بشوری,داری  می شوری,می خوای بشوری,بشور
692,شست,می شست,شسته بود,شسته باش,داشته  می شسته,می شوره,بشوره,داره  می شوره,می خواد بشوره,بشوره
693,شستیم,می شستیم,شسته بودیم,شسته باشیم,داشتیم  می شستیم,می شوریم,بشوریم,داریم  می شوریم,می خوایم بشوریم,بشوریم
694,شستین,می شستین,شسته بودین,شسته باشین,داشتین  می شستین,می شورین,بشورین,دارین  می شورین,می خواین بشورین,بشورین
695,شستن,می شستن,شسته بودن,شسته باشن,داشتن  می شستن,می شورن,بشورن,دارن  می شورن,می خوان بشورن,بشورن
696,شکستم,می شکستم,شکسته بودم,شکسته باشم,داشتم  می شکستم,می شکنم,بشکنم,دارم  می شکنم,می خوام بشکنم,-
697,شکستی,می شکستی,شکسته بودی,شکسته باشی,داشتی  می شکستی,می شکنی,بشکنی,داری  می شکنی,می خوای بشکنی,بشکن
698,شکست,می شکست,شکسته بود,شکسته باش,داشته  می شکسته,می شکنه,بشکنه,داره  می شکنه,می خواد بشکنه,بشکنه
699,شکستیم,می شکستیم,شکسته بودیم,شکسته باشیم,داشتیم  می شکستیم,می شکنیم,بشکنیم,داریم  می شکنیم,می خوایم بشکنیم,بشکنیم
700,شکستین,می شکستین,شکسته بودین,شکسته باشین,داشتین  می شکستین,می شکنین,بشکنین,دارین  می شکنین,می خواین بشکنین,بشکنین
701,شکستن,می شکستن,شکسته بودن,شکسته باشن,داشتن  می شکستن,می شکنن,بشکنن,دارن  می شکنن,می خوان بشکنن,بشکنن
702,شمردم,می شمردم,شمرده بودم,شمرده باشم,داشتم  می شمردم,می شمرم,بشمرم,دارم  می شمرم,می خوام بشمرم,-
703,شمردی,می شمردی,شمرده بودی,شمرده باشی,داشتی  می شمردی,می شمری,بشمری,داری  می شمری,می خوای بشمری,بشمر
704,شمرد,می شمرد,شمرده بود,شمرده باش,داشته  می شمرده,می شمره,بشمره,داره  می شمره,می خواد بشمره,بشمره
705,شمردیم,می شمردیم,شمرده بودیم,شمرده باشیم,داشتیم  می شمردیم,می شمریم,بشمریم,داریم  می شمریم,می خوایم بشمریم,بشمریم
706,شمردین,می شمردین,شمرده بودین,شمرده باشین,داشتین  می شمردین,می شمرین,بشمرین,دارین  می شمرین,می خواین بشمرین,بشمرین
707,شمردن,می شمردن,شمرده بودن,شمرده باشن,داشتن  می شمردن,می شمرن,بشمرن,دارن  می شمرن,می خوان بشمرن,بشمرن
708,شناختم,می شناختم,شناخته بودم,شناخته باشم,داشتم  می شناختم,می شناسم,بشناسم,دارم  می شناسم,می خوام بشناسم,-
709,شناختی,می شناختی,شناخته بودی,شناخته باشی,داشتی  می شناختی,می شناسی,بشناسی,داری  می شناسی,می خوای بشناسی,بشناس
710,شناخت,می شناخت,شناخته بود,شناخته باش,داشته  می شناخته,می شناسه,بشناسه,داره  می شناسه,می خواد بشناسه,بشناسه
711,شناختیم,می شناختیم,شناخته بودیم,شناخته باشیم,داشتیم  می شناختیم,می شناسیم,بشناسیم,داریم  می شناسیم,می خوایم بشناسیم,بشناسیم
712,شناختین,می شناختین,شناخته بودین,شناخته باشین,داشتین  می شناختین,می شناسین,بشناسین,دارین  می شناسین,می خواین بشناسین,بشناسین
713,شناختن,می شناختن,شناخته بودن,شناخته باشن,داشتن  می شناختن,می شناسن,بشناسن,دارن  می شناسن,می خوان بشناسن,بشناسن
714,شنیدم,می شنیدم,شنیده بودم,شنیده باشم,داشتم  می شنیدم,می شنوم,بشنوم,دارم  می شنوم,می خوام بشنوم,-
715,شنیدی,می شنیدی,شنیده بودی,شنیده باشی,داشتی  می شنیدی,می شنوی,بشنوی,داری  می شنوی,می خوای بشنوی,بشنو
716,شنید,می شنید,شنیده بود,شنیده باش,داشته  می شنیده,می شنوه,بشنوه,داره  می شنوه,می خواد بشنوه,بشنوه
717,شنیدیم,می شنیدیم,شنیده بودیم,شنیده باشیم,داشتیم  می شنیدیم,می شنویم,بشنویم,داریم  می شنویم,می خوایم بشنویم,بشنویم
718,شنیدین,می شنیدین,شنیده بودین,شنیده باشین,داشتین  می شنیدین,می شنوین,بشنوین,دارین  می شنوین,می خواین بشنوین,بشنوین
719,شنیدن,می شنیدن,شنیده بودن,شنیده باشن,داشتن  می شنیدن,می شنون,بشنون,دارن  می شنون,می خوان بشنون,بشنون
