,roots,indicative_past.past_simple,indicative_past.past imperfective,indicative_past.past_progressive,indicative_past.past_narrative,indicative_past.past_precedent,indicative_present.present_simple,indicative_present.present_imperfective,indicative_present.present_progressive,indicative_future.future_simple,subjunctive_past.past_narrative,subjunctive_present.present_simple,imperative_present.present_simple
0,نقد کردن,نقد کردم,نقد می‌کردم,داشتم نقد می‌کردم,نقد کرده‌ام,نقد کرده بودم,نقد کنم,نقد می‌کنم,دارم نقد می‌کنم,نقد خواهم کرد,نقد کرده باشم,نقد بکنم,-
1,کردن,نقد کردی,نقد می‌کردی,داشتی نقد می‌کردی,نقد کرده‌ای,نقد کرده بودی,نقد کنی,نقد می‌کنی,داری نقد می‌کنی,نقد خواهی کرد,نقد کرده باشی,نقد بکنی,نقد بکن
2,کرد,نقد کرد,نقد می‌کرد,داشت نقد می‌کرد,نقد کرده(است),نقد کرده بود,نقد کند,نقد می‌کند,دارد نقد می‌کند,نقد خواهد کرد,نقد کرده باشد,نقد بکند,نقد بکند
3,کرده,نقد کردیم,نقد می‌کردیم,داشتیم نقد می‌کردیم,نقد کرده‌ایم,نقد کرده بودیم,نقد کنیم,نقد می‌کنیم,داریم نقد می‌کنیم,نقد خواهیم کرد,نقد کرده باشیم,نقد بکنیم,نقد بکنیم
4,کن,نقد کردید,نقد می‌کردید,داشتید نقد می‌کردید,نقد کرده‌اید,نقد کرده بودید,نقد کنید,نقد می‌کنید,دارید نقد می‌کنید,نقد خواهید کرد,نقد کرده باشید,نقد بکنید,نقد بکنید
5,-,نقد کردند,نقد می‌کردند,داشتند نقد می‌کردند,نقد کرده‌اند,نقد کرده بودند,نقد کنند,نقد می‌کنند,دارند نقد می‌کنند,نقد خواهند کرد,نقد کرده باشند,نقد بکنند,نقد بکنند
0,نگاه کردن,نگاه کردم,نگاه می‌کردم,داشتم نگاه می‌کردم,نگاه کرده‌ام,نگاه کرده بودم,نگاه کنم,نگاه می‌کنم,دارم نگاه می‌کنم,نگاه خواهم کرد,نگاه کرده باشم,نگاه بکنم,-
1,کردن,نگاه کردی,نگاه می‌کردی,داشتی نگاه می‌کردی,نگاه کرده‌ای,نگاه کرده بودی,نگاه کنی,نگاه می‌کنی,داری نگاه می‌کنی,نگاه خواهی کرد,نگاه کرده باشی,نگاه بکنی,نگاه بکن
2,کرد,نگاه کرد,نگاه می‌کرد,داشت نگاه می‌کرد,نگاه کرده(است),نگاه کرده بود,نگاه کند,نگاه می‌کند,دارد نگاه می‌کند,نگاه خواهد کرد,نگاه کرده باشد,نگاه بکند,نگاه بکند
3,کرده,نگاه کردیم,نگاه می‌کردیم,داشتیم نگاه می‌کردیم,نگاه کرده‌ایم,نگاه کرده بودیم,نگاه کنیم,نگاه می‌کنیم,داریم نگاه می‌کنیم,نگاه خواهیم کرد,نگاه کرده باشیم,نگاه بکنیم,نگاه بکنیم
4,کن,نگاه کردید,نگاه می‌کردید,داشتید نگاه می‌کردید,نگاه کرده‌اید,نگاه کرده بودید,نگاه کنید,نگاه می‌کنید,دارید نگاه می‌کنید,نگاه خواهید کرد,نگاه کرده باشید,نگاه بکنید,نگاه بکنید
5,-,نگاه کردند,نگاه می‌کردند,داشتند نگاه می‌کردند,نگاه کرده‌اند,نگاه کرده بودند,نگاه کنند,نگاه می‌کنند,دارند نگاه می‌کنند,نگاه خواهند کرد,نگاه کرده باشند,نگاه بکنند,نگاه بکنند
0,نوشتن,نوشتم,می‌نوشتم,داشتم می‌نوشتم,نوشته‌ام,نوشته بودم,نویسم,می‌نویسم,دارم می‌نویسم,خواهم نوشت,نوشته باشم,بنویسم,-
1,نوشت,نوشتی,می‌نوشتی,داشتی می‌نوشتی,نوشته‌ای,نوشته بودی,نویسی,می‌نویسی,داری می‌نویسی,خواهی نوشت,نوشته باشی,بنویسی,بنویس
2,نوشته,نوشت,می‌نوشت,داشت می‌نوشت,نوشته(است),نوشته بود,نویسد,می‌نویسد,دارد می‌نویسد,خواهد نوشت,نوشته باشد,بنویسد,بنویسد
3,نویس,نوشتیم,می‌نوشتیم,داشتیم می‌نوشتیم,نوشته‌ایم,نوشته بودیم,نویسیم,می‌نویسیم,داریم می‌نویسیم,خواهیم نوشت,نوشته باشیم,بنویسیم,بنویسیم
4,-,نوشتید,می‌نوشتید,داشتید می‌نوشتید,نوشته‌اید,نوشته بودید,نویسید,می‌نویسید,دارید می‌نویسید,خواهید نوشت,نوشته باشید,بنویسید,بنویسید
5,-,نوشتند,می‌نوشتند,داشتند می‌نوشتند,نوشته‌اند,نوشته بودند,نویسند,می‌نویسند,دارند می‌نویسند,خواهند نوشت,نوشته باشند,بنویسند,بنویسند
0,نوشیدن,نوشیدم,می‌نوشیدم,داشتم می‌نوشیدم,نوشیده‌ام,نوشیده بودم,نوشم,می‌نوشم,دارم می‌نوشم,خواهم نوشید,نوشیده باشم,بنوشم,-
1,نوشید,نوشیدی,می‌نوشیدی,داشتی می‌نوشیدی,نوشیده‌ای,نوشیده بودی,نوشی,می‌نوشی,داری می‌نوشی,خواهی نوشید,نوشیده باشی,بنوشی,بنوش
2,نوشیده,نوشید,می‌نوشید,داشت می‌نوشید,نوشیده(است),نوشیده بود,نوشد,می‌نوشد,دارد می‌نوشد,خواهد نوشید,نوشیده باشد,بنوشد,بنوشد
3,نوش,نوشیدیم,می‌نوشیدیم,داشتیم می‌نوشیدیم,نوشیده‌ایم,نوشیده بودیم,نوشیم,می‌نوشیم,داریم می‌نوشیم,خواهیم نوشید,نوشیده باشیم,بنوشیم,بنوشیم
4,-,نوشیدید,می‌نوشیدید,داشتید می‌نوشیدید,نوشیده‌اید,نوشیده بودید,نوشید,می‌نوشید,دارید می‌نوشید,خواهید نوشید,نوشیده باشید,بنوشید,بنوشید
5,-,نوشیدند,می‌نوشیدند,داشتند می‌نوشیدند,نوشیده‌اند,نوشیده بودند,نوشند,می‌نوشند,دارند می‌نوشند,خواهند نوشید,نوشیده باشند,بنوشند,بنوشند
0,هل دادن,هل دادم,هل می‌دادم,داشتم هل می‌دادم,هل داده‌ام,هل داده بودم,هل دهم,هل می‌دهم,دارم هل می‌دهم,هل خواهم داد,هل داده باشم,هل بدهم,-
1,دادن,هل دادی,هل می‌دادی,داشتی هل می‌دادی,هل داده‌ای,هل داده بودی,هل دهی,هل می‌دهی,داری هل می‌دهی,هل خواهی داد,هل داده باشی,هل بدهی,هل بده
2,داد,هل داد,هل می‌داد,داشت هل می‌داد,هل داده(است),هل داده بود,هل دهد,هل می‌دهد,دارد هل می‌دهد,هل خواهد داد,هل داده باشد,هل بدهد,هل بدهد
3,داده,هل دادیم,هل می‌دادیم,داشتیم هل می‌دادیم,هل داده‌ایم,هل داده بودیم,هل دهیم,هل می‌دهیم,داریم هل می‌دهیم,هل خواهیم داد,هل داده باشیم,هل بدهیم,هل بدهیم
4,ده,هل دادید,هل می‌دادید,داشتید هل می‌دادید,هل داده‌اید,هل داده بودید,هل دهید,هل می‌دهید,دارید هل می‌دهید,هل خواهید داد,هل داده باشید,هل بدهید,هل بدهید
5,-,هل دادند,هل می‌دادند,داشتند هل می‌دادند,هل داده‌اند,هل داده بودند,هل دهند,هل می‌دهند,دارند هل می‌دهند,هل خواهند داد,هل داده باشند,هل بدهند,هل بدهند
0,هم زدن,هم زدم,هم می‌زدم,داشتم هم می‌زدم,هم زده‌ام,هم زده بودم,هم زنم,هم می‌زنم,دارم هم می‌زنم,هم خواهم زد,هم زده باشم,هم بزنم,-
1,زدن,هم زدی,هم می‌زدی,داشتی هم می‌زدی,هم زده‌ای,هم زده بودی,هم زنی,هم می‌زنی,داری هم می‌زنی,هم خواهی زد,هم زده باشی,هم بزنی,هم بزن
2,زد,هم زد,هم می‌زد,داشت هم می‌زد,هم زده(است),هم زده بود,هم زند,هم می‌زند,دارد هم می‌زند,هم خواهد زد,هم زده باشد,هم بزند,هم بزند
3,زده,هم زدیم,هم می‌زدیم,داشتیم هم می‌زدیم,هم زده‌ایم,هم زده بودیم,هم زنیم,هم می‌زنیم,داریم هم می‌زنیم,هم خواهیم زد,هم زده باشیم,هم بزنیم,هم بزنیم
4,زن,هم زدید,هم می‌زدید,داشتید هم می‌زدید,هم زده‌اید,هم زده بودید,هم زنید,هم می‌زنید,دارید هم می‌زنید,هم خواهید زد,هم زده باشید,هم بزنید,هم بزنید
5,-,هم زدند,هم می‌زدند,داشتند هم می‌زدند,هم زده‌اند,هم زده بودند,هم زنند,هم می‌زنند,دارند هم می‌زنند,هم خواهند زد,هم زده باشند,هم بزنند,هم بزنند
0,یاد دادن,یاد دادم,یاد می‌دادم,داشتم یاد می‌دادم,یاد داده‌ام,یاد داده بودم,یاد دهم,یاد می‌دهم,دارم یاد می‌دهم,یاد خواهم داد,یاد داده باشم,یاد بدهم,-
1,دادن,یاد دادی,یاد می‌دادی,داشتی یاد می‌دادی,یاد داده‌ای,یاد داده بودی,یاد دهی,یاد می‌دهی,داری یاد می‌دهی,یاد خواهی داد,یاد داده باشی,یاد بدهی,یاد بده
2,داد,یاد داد,یاد می‌داد,داشت یاد می‌داد,یاد داده(است),یاد داده بود,یاد دهد,یاد می‌دهد,دارد یاد می‌دهد,یاد خواهد داد,یاد داده باشد,یاد بدهد,یاد بدهد
3,داده,یاد دادیم,یاد می‌دادیم,داشتیم یاد می‌دادیم,یاد داده‌ایم,یاد داده بودیم,یاد دهیم,یاد می‌دهیم,داریم یاد می‌دهیم,یاد خواهیم داد,یاد داده باشیم,یاد بدهیم,یاد بدهیم
4,ده,یاد دادید,یاد می‌دادید,داشتید یاد می‌دادید,یاد داده‌اید,یاد داده بودید,یاد دهید,یاد می‌دهید,دارید یاد می‌دهید,یاد خواهید داد,یاد داده باشید,یاد بدهید,یاد بدهید
5,-,یاد دادند,یاد می‌دادند,داشتند یاد می‌دادند,یاد داده‌اند,یاد داده بودند,یاد دهند,یاد می‌دهند,دارند یاد می‌دهند,یاد خواهند داد,یاد داده باشند,یاد بدهند,یاد بدهند
