,roots,indicative_past.past_simple,indicative_past.past imperfective,indicative_past.past_progressive,indicative_past.past_narrative,indicative_past.past_precedent,indicative_present.present_simple,indicative_present.present_imperfective,indicative_present.present_progressive,indicative_future.future_simple,subjunctive_past.past_narrative,subjunctive_present.present_simple,imperative_present.present_simple
4,-,ماندید,می‌ماندید,داشتید می‌ماندید,مانده‌اید,مانده بودید,مانید,می‌مانید,دارید می‌مانید,خواهید ماند,مانده باشید,بمانید,بمانید
5,-,ماندند,می‌ماندند,داشتند می‌ماندند,مانده‌اند,مانده بودند,مانند,می‌مانند,دارند می‌مانند,خواهند ماند,مانده باشند,بمانند,بمانند
0,مخلوط کردن,مخلوط کردم,مخلوط می‌کردم,داشتم مخلوط می‌کردم,مخلوط کرده‌ام,مخلوط کرده بودم,مخلوط کنم,مخلوط می‌کنم,دارم مخلوط می‌کنم,مخلوط خواهم کرد,مخلوط کرده باشم,مخلوط بکنم,-
1,کردن,مخلوط کردی,مخلوط می‌کردی,داشتی مخلوط می‌کردی,مخلوط کرده‌ای,مخلوط کرده بودی,مخلوط کنی,مخلوط می‌کنی,داری مخلوط می‌کنی,مخلوط خواهی کرد,مخلوط کرده باشی,مخلوط بکنی,مخلوط بکن
2,کرد,مخلوط کرد,مخلوط می‌کرد,داشت مخلوط می‌کرد,مخلوط کرده(است),مخلوط کرده بود,مخلوط کند,مخلوط می‌کند,دارد مخلوط می‌کند,مخلوط خواهد کرد,مخلوط کرده باشد,مخلوط بکند,مخلوط بکند
3,کرده,مخلوط کردیم,مخلوط می‌کردیم,داشتیم مخلوط می‌کردیم,مخلوط کرده‌ایم,مخلوط کرده بودیم,مخلوط کنیم,مخلوط می‌کنیم,داریم مخلوط می‌کنیم,مخلوط خواهیم کرد,مخلوط کرده باشیم,مخلوط بکنیم,مخلوط بکنیم
4,کن,مخلوط کردید,مخلوط می‌کردید,داشتید مخلوط می‌کردید,مخلوط کرده‌اید,مخلوط کرده بودید,مخلوط کنید,مخلوط می‌کنید,دارید مخلوط می‌کنید,مخلوط خواهید کرد,مخلوط کرده باشید,مخلوط بکنید,مخلوط بکنید
5,-,مخلوط کردند,مخلوط می‌کردند,داشتند مخلوط می‌کردند,مخلوط کرده‌اند,مخلوط کرده بودند,مخلوط کنند,مخلوط می‌کنند,دارند مخلوط می‌کنند,مخلوط خواهند کرد,مخلوط کرده باشند,مخلوط بکنند,مخلوط بکنند
0,مرتب کردن,مرتب کردم,مرتب می‌کردم,داشتم مرتب می‌کردم,مرتب کرده‌ام,مرتب کرده بودم,مرتب کنم,مرتب می‌کنم,دارم مرتب می‌کنم,مرتب خواهم کرد,مرتب کرده باشم,مرتب بکنم,-
1,کردن,مرتب کردی,مرتب می‌کردی,داشتی مرتب می‌کردی,مرتب کرده‌ای,مرتب کرده بودی,مرتب کنی,مرتب می‌کنی,داری مرتب می‌کنی,مرتب خواهی کرد,مرتب کرده باشی,مرتب بکنی,مرتب بکن
2,کرد,مرتب کرد,مرتب می‌کرد,داشت مرتب می‌کرد,مرتب کرده(است),مرتب کرده بود,مرتب کند,مرتب می‌کند,دارد مرتب می‌کند,مرتب خواهد کرد,مرتب کرده باشد,مرتب بکند,مرتب بکند
3,کرده,مرتب کردیم,مرتب می‌کردیم,داشتیم مرتب می‌کردیم,مرتب کرده‌ایم,مرتب کرده بودیم,مرتب کنیم,مرتب می‌کنیم,داریم مرتب می‌کنیم,مرتب خواهیم کرد,مرتب کرده باشیم,مرتب بکنیم,مرتب بکنیم
4,کن,مرتب کردید,مرتب می‌کردید,داشتید مرتب می‌کردید,مرتب کرده‌اید,مرتب کرده بودید,مرتب کنید,مرتب می‌کنید,دارید مرتب می‌کنید,مرتب خواهید کرد,مرتب کرده باشید,مرتب بکنید,مرتب بکنید
5,-,مرتب کردند,مرتب می‌کردند,داشتند مرتب می‌کردند,مرتب کرده‌اند,مرتب کرده بودند,مرتب کنند,مرتب می‌کنند,دارند مرتب می‌کنند,مرتب خواهند کرد,مرتب کرده باشند,مرتب بکنند,مرتب بکنند
0,مردن,مردم,می‌مردم,داشتم می‌مردم,مرده‌ام,مرده بودم,میرم,می‌میرم,دارم می‌میرم,خواهم مرد,مرده باشم,بمیرم,-
1,مرد,مردی,می‌مردی,داشتی می‌مردی,مرده‌ای,مرده بودی,میری,می‌میری,داری می‌میری,خواهی مرد,مرده باشی,بمیری,بمیر
2,مرده,مرد,می‌مرد,داشت می‌مرد,مرده(است),مرده بود,میرد,می‌میرد,دارد می‌میرد,خواهد مرد,مرده باشد,بمیرد,بمیرد
3,میر,مردیم,می‌مردیم,داشتیم می‌مردیم,مرده‌ایم,مرده بودیم,میریم,می‌میریم,داریم می‌میریم,خواهیم مرد,مرده باشیم,بمیریم,بمیریم
4,-,مردید,می‌مردید,داشتید می‌مردید,مرده‌اید,مرده بودید,میرید,می‌میرید,دارید می‌میرید,خواهید مرد,مرده باشید,بمیرید,بمیرید
5,-,مردند,می‌مردند,داشتند می‌مردند,مرده‌اند,مرده بودند,میرند,می‌میرند,دارند می‌میرند,خواهند مرد,مرده باشند,بمیرند,بمیرند
0,نشان دادن,نشان دادم,نشان می‌دادم,داشتم نشان می‌دادم,نشان داده‌ام,نشان داده بودم,نشان دهم,نشان می‌دهم,دارم نشان می‌دهم,نشان خواهم داد,نشان داده باشم,نشان بدهم,-
1,دادن,نشان دادی,نشان می‌دادی,داشتی نشان می‌دادی,نشان داده‌ای,نشان داده بودی,نشان دهی,نشان می‌دهی,داری نشان می‌دهی,نشان خواهی داد,نشان داده باشی,نشان بدهی,نشان بده
2,داد,نشان داد,نشان می‌داد,داشت نشان می‌داد,نشان داده(است),نشان داده بود,نشان دهد,نشان می‌دهد,دارد نشان می‌دهد,نشان خواهد داد,نشان داده باشد,نشان بدهد,نشان بدهد
3,داده,نشان دادیم,نشان می‌دادیم,داشتیم نشان می‌دادیم,نشان داده‌ایم,نشان داده بودیم,نشان دهیم,نشان می‌دهیم,داریم نشان می‌دهیم,نشان خواهیم داد,نشان داده باشیم,نشان بدهیم,نشان بدهیم
4,ده,نشان دادید,نشان می‌دادید,داشتید نشان می‌دادید,نشان داده‌اید,نشان داده بودید,نشان دهید,نشان می‌دهید,دارید نشان می‌دهید,نشان خواهید داد,نشان داده باشید,نشان بدهید,نشان بدهید
5,-,نشان دادند,نشان می‌دادند,داشتند نشان می‌دادند,نشان داده‌اند,نشان داده بودند,نشان دهند,نشان می‌دهند,دارند نشان می‌دهند,نشان خواهند داد,نشان داده باشند,نشان بدهند,نشان بدهند
0,نشستن,نشستم,می‌نشستم,داشتم می‌نشستم,نشسته‌ام,نشسته بودم,نشینم,می‌نشینم,دارم می‌نشینم,خواهم نشست,نشسته باشم,بنشینم,-
1,نشست,نشستی,می‌نشستی,داشتی می‌نشستی,نشسته‌ای,نشسته بودی,نشینی,می‌نشینی,داری می‌نشینی,خواهی نشست,نشسته باشی,بنشینی,بنشین
2,نشسته,نشست,می‌نشست,داشت می‌نشست,نشسته(است),نشسته بود,نشیند,می‌نشیند,دارد می‌نشیند,خواهد نشست,نشسته باشد,بنشیند,بنشیند
3,نشین,نشستیم,می‌نشستیم,داشتیم می‌نشستیم,نشسته‌ایم,نشسته بودیم,نشینیم,می‌نشینیم,داریم می‌نشینیم,خواهیم نشست,نشسته باشیم,بنشینیم,بنشینیم
4,-,نشستید,می‌نشستید,داشتید می‌نشستید,نشسته‌اید,نشسته بودید,نشینید,می‌نشینید,دارید می‌نشینید,خواهید نشست,نشسته باشید,بنشینید,بنشینید
5,-,نشستند,می‌نشستند,داشتند می‌نشستند,نشسته‌اند,نشسته بودند,نشینند,می‌نشینند,دارند می‌نشینند,خواهند نشست,نشسته باشند,بنشینند,بنشینند
